period,Count,Term
2025-09-15,0,raw denim
2025-09-22,0,raw denim
2025-09-15,0,linen pants
2025-09-22,0,linen pants
2025-09-15,0,wide leg trousers
2025-09-22,0,wide leg trousers
2025-09-15,0,baggy jeans
2025-09-22,0,baggy jeans
2025-09-15,0,cargo pants
2025-09-22,0,cargo pants
2025-09-15,0,linen shirt
2025-09-22,0,linen shirt
2025-09-15,0,oxford shirt
2025-09-22,0,oxford shirt
2025-09-15,0,workwear
2025-09-22,0,workwear
2025-09-15,0,ballet flats
2025-09-22,0,ballet flats
2025-09-15,0,chelsea boots
2025-09-22,0,chelsea boots
2025-09-15,0,gorpcore
2025-09-22,0,gorpcore
2025-09-15,0,quiet luxury
2025-09-22,0,quiet luxury
2025-09-15,0,old money
2025-09-22,0,old money
2025-09-15,0,coquette
2025-09-22,0,coquette
2025-09-15,0,blokette
2025-09-22,0,blokette
2025-09-15,0,balletcore
2025-09-22,0,balletcore
